"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT_1","NAME_BASISWERT_2","NAME_BASISWERT_3","NAME_BASISWERT_4","NAME_BASISWERT_5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","33,3","1776","5336","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","29,2","2748","9415","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","-88888888","0","0","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","99","99 nicht zuzuordnen"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","35,3","2109","5972","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","51,9","1549","2985","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","63,4","4784","7548","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","11","11 Milbertshofen -  Am Hart"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","43","2900","6741","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","12","12 Schwabing -  Freimann"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","46,6","2276","4885","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","41,9","2107","5023","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","25","25 Laim"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","39","1373","3519","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","37,4","2246","6002","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","4","04 Schwabing West"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","33,3","566","1702","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","50,8","2202","4337","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","35,2","3323","9442","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","43,2","2538","5875","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","41","790","1926","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","47,7","2305","4834","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","52,2","4190","8031","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","12","12 Schwabing -  Freimann"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","45,5","5770","12681","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","53,3","3332","6248","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","25","25 Laim"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","52,3","101768","194514","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","45,5","5106","11225","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","57,8","5775","9997","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","63,4","2488","3924","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","62,8","3605","5740","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","59,1","3777","6386","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","44,3","4963","11194","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","52,6","3821","7260","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","50,1","3311","6610","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","51,5","6671","12954","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","33","3077","9320","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","37,8","2008","5307","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","43,2","3294","7628","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","48,9","1402","2869","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","41,2","2412","5851","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","51,2","98991","193268","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","48,1","1975","4110","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","44,3","3036","6849","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","41,6","793","1904","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","44,2","3021","6829","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","4","04 Schwabing West"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","56,7","4193","7390","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","32,2","1588","4929","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","52","3223","6204","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","25","25 Laim"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","53,5","2699","5045","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","43,5","5266","12111","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","63,8","11093","17376","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","43,2","2742","6349","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","56,9","5727","10061","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","54,3","3749","6905","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","62,3","2424","3891","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","47,2","5096","10788","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","51,4","4177","8129","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","12","12 Schwabing -  Freimann"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","61,6","3557","5773","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","44,3","4966","11209","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","37,6","4053","10791","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","41,5","2807","6759","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","12","12 Schwabing -  Freimann"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","44,2","2084","4714","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","31,9","1687","5294","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","72,6","7645","10530","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","11","11 Milbertshofen -  Am Hart"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","57,5","3556","6186","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","-88888888","0","0","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","99","99 nicht zuzuordnen"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","44,8","3131","6994","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","54","2711","5024","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","55,6","3858","6937","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","59","4366","7403","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","45,1","5037","11165","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","43,8","2771","6331","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","48,4","5374","11106","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","65,3","11337","17353","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","54","7070","13086","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","25,7","1144","4454","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2009","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","47,8","2317","4845","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","33,2","553","1664","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","34","3212","9443","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","35,6","1396","3924","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","37,2","1266","3401","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","35,8","2128","5936","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","4","04 Schwabing West"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","40,5","1597","3943","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","36,9","3333","9025","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","48,5","2088","4304","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","23,7","1037","4378","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","39,4","1937","4918","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","25","25 Laim"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","-88888888","0","0","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","99","99 nicht zuzuordnen"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","33,8","1944","5757","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","41,7","2260","5416","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","27,4","2543","9281","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","60,9","4492","7377","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","11","11 Milbertshofen -  Am Hart"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","39,5","61529","155806","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","44,4","2556","5753","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Migrationshintergrundquote - Kinder","Deutsche","35,4","3745","10590","","","","deutsche Kinder mit Migrationshintergrund ","deutsche Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2008","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","57,7","3175","5506","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2006","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","55,6","3408","6133","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2006","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","48,4","2235","4615","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2006","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","46,6","1861","3994","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2006","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Migrationshintergrundquote - Kinder","gesamt","61,9","2210","3569","","","","Kinder mit Migrationshintergrund ","Hauptwohnsitzbevölkerung im Alter von 0- 17 Jahren","","","","2006","Stadtbezirk","8","08 Schwanthalerhöhe"
